Date;Price
01.01.2007;365
01.02.2007;375
01.03.2007;395
01.04.2007;325
01.05.2007;350.5
01.06.2007;376.5
01.07.2007;316
01.08.2007;288.5
01.09.2007;299.5
01.10.2007;329
01.11.2007;352.5
01.12.2007;374
01.01.2008;425.5
01.02.2008;469.5
01.03.2008;528
01.04.2008;550.5
01.05.2008;572.5
01.06.2008;571.5
01.07.2008;674.5
01.08.2008;515
01.09.2008;534.5
01.10.2008;437
01.11.2008;365.5
01.12.2008;308
01.01.2009;378.5
01.02.2009;345.5
01.03.2009;330.5
01.04.2009;385
01.05.2009;390
01.06.2009;425.5
01.07.2009;340
01.08.2009;351.5
01.09.2009;307.5
01.10.2009;322
01.11.2009;360
01.12.2009;371
01.01.2010;376
01.02.2010;331
01.03.2010;354
01.04.2010;321.5
01.05.2010;347
01.06.2010;329.5
01.07.2010;342
01.08.2010;363
01.09.2010;393.5
01.10.2010;440.5
01.11.2010;556
01.12.2010;539
01.01.2011;597.5
01.02.2011;634.5
01.03.2011;704.5
01.04.2011;714.5
01.05.2011;711
01.06.2011;753
01.07.2011;625
01.08.2011;706.5
01.09.2011;726.5
01.10.2011;575.5
01.11.2011;645.5
01.12.2011;591
01.01.2012;646.5
01.02.2012;641
01.03.2012;653.5
01.04.2012;655
01.05.2012;647.5
01.06.2012;579.5
01.07.2012;692.5
01.08.2012;813
01.09.2012;808.5
01.10.2012;758.5
01.11.2012;751.5
01.12.2012;752
01.01.2013;694.5
01.02.2013;743
01.03.2013;727.5
01.04.2013;657
01.05.2013;673.5
01.06.2013;688
01.07.2013;657
01.08.2013;597
01.09.2013;588
01.10.2013;419
01.11.2013;413.5
01.12.2013;406.5
01.01.2014;405.5
01.02.2014;421.5
01.03.2014;450
01.04.2014;489
01.05.2014;485.5
01.06.2014;452
01.07.2014;408
01.08.2014;346
01.09.2014;362
01.10.2014;279
01.11.2014;337.5
01.12.2014;355.5
01.01.2015;372
01.02.2015;351.5
01.03.2015;364.5
01.04.2015;357.5
01.05.2015;347
01.06.2015;344.5
01.07.2015;397.5
01.08.2015;349.5
