Date;Price
Q1 2000;184.5
Q2 2000;211.5
Q3 2000;157
Q4 2000;166.5
Q1 2001;210.5
Q2 2001;188
Q3 2001;176
Q4 2001;185
Q1 2002;192.5
Q2 2002;192
Q3 2002;225
Q4 2002;241
Q1 2003;229.5
Q2 2003;237
Q3 2003;226.5
Q4 2003;200
Q1 2004;235.5
Q2 2004;307
Q3 2004;261
Q4 2004;177.5
Q1 2005;185.5
Q2 2005;197
Q3 2005;200.5
Q4 2005;170.5
Q1 2006;200
Q2 2006;216
Q3 2006;223
Q4 2006;242
Q1 2007;365
Q2 2007;325
Q3 2007;316
Q4 2007;329
Q1 2008;425.5
Q2 2008;550.5
Q3 2008;674.5
Q4 2008;437
Q1 2009;378.5
Q2 2009;385
Q3 2009;340
Q4 2009;322
Q1 2010;376
Q2 2010;321.5
Q3 2010;342
Q4 2010;440.5
Q1 2011;597.5
Q2 2011;714.5
Q3 2011;625
Q4 2011;575.5
Q1 2012;646.5
Q2 2012;655
Q3 2012;692.5
Q4 2012;758.5
Q1 2013;694.5
Q2 2013;657
Q3 2013;657
Q4 2013;419
Q1 2014;405.5
Q2 2014;489
Q3 2014;408
Q4 2014;279
Q1 2015;372
Q2 2015;357.5
Q3 2015;397.5
