Date;Price
01.01.2000;25.76
01.02.2000;28.28
01.03.2000;31.71
01.04.2000;26.28
01.05.2000;25.84
01.06.2000;30.19
01.07.2000;32.44
01.08.2000;27.85
01.09.2000;33.42
01.10.2000;32.05
01.11.2000;33.14
01.12.2000;32.06
01.01.2001;26.72
01.02.2001;29.88
01.03.2001;27.78
01.04.2001;25.7
01.05.2001;28.37
01.06.2001;27.88
01.07.2001;26.02
01.08.2001;26.83
01.09.2001;26.65
01.10.2001;23.12
01.11.2001;20.47
01.12.2001;20.27
01.01.2002;19.96
01.02.2002;20.4
01.03.2002;22.37
01.04.2002;26.82
01.05.2002;26.58
01.06.2002;25.1
01.07.2002;26.82
01.08.2002;26.51
01.09.2002;28.97
01.10.2002;30.71
01.11.2002;27.04
01.12.2002;27.27
01.01.2003;31.21
01.02.2003;32.84
01.03.2003;36.1
01.04.2003;29.48
01.05.2003;26.05
01.06.2003;30.72
01.07.2003;30.41
01.08.2003;32.23
01.09.2003;31.76
01.10.2003;29.43
01.11.2003;28.81
01.12.2003;29.89
01.01.2004;32.51
01.02.2004;34.87
01.03.2004;36.85
01.04.2004;34.47
01.05.2004;38.26
01.06.2004;42.33
01.07.2004;38.56
01.08.2004;43.83
01.09.2004;43.89
01.10.2004;50.16
01.11.2004;50.1
01.12.2004;45.56
01.01.2005;42.16
01.02.2005;47.1
01.03.2005;51.67
01.04.2005;57.26
01.05.2005;50.94
01.06.2005;54.4
01.07.2005;59.11
01.08.2005;61.51
01.09.2005;69.5
01.10.2005;65.36
01.11.2005;59.85
01.12.2005;58.46
01.01.2006;61.06
01.02.2006;66.61
01.03.2006;62.01
01.04.2006;66.07
01.05.2006;73.75
01.06.2006;70.11
01.07.2006;73.85
01.08.2006;74.93
01.09.2006;69.24
01.10.2006;60.96
01.11.2006;58.64
01.12.2006;63.43
01.01.2007;60.85
01.02.2007;57.35
01.03.2007;61.97
01.04.2007;66.03
01.05.2007;64.43
01.06.2007;65.09
01.07.2007;71.11
01.08.2007;76.49
01.09.2007;73.98
01.10.2007;80.31
01.11.2007;93.53
01.12.2007;89.29
01.01.2008;95.95
01.02.2008;89.03
01.03.2008;102.42
01.04.2008;100.92
01.05.2008;112.6
01.06.2008;127.75
01.07.2008;141.06
01.08.2008;125.03
