Date;Price
07.01.2000;1206.25
14.01.2000;1195.4
21.01.2000;1183
28.01.2000;1131.25
04.02.2000;1089.25
11.02.2000;1102
18.02.2000;1095.75
25.02.2000;1093.75
03.03.2000;1118
10.03.2000;1131.15
17.03.2000;1137
24.03.2000;1105.6
31.03.2000;1105.4
07.04.2000;1102
14.04.2000;1112.75
21.04.2000;1159.75
28.04.2000;1160.25
05.05.2000;1152
12.05.2000;1161.95
19.05.2000;1160
26.05.2000;1149
02.06.2000;1106.5
09.06.2000;1100
16.06.2000;1130.4
23.06.2000;1120.25
30.06.2000;1139.5
07.07.2000;1122
14.07.2000;1121.05
21.07.2000;1147.75
28.07.2000;1161
04.08.2000;1144.5
11.08.2000;1162.75
18.08.2000;1183
25.08.2000;1180.25
01.09.2000;1205.25
08.09.2000;1248
15.09.2000;1220.1
22.09.2000;1223
29.09.2000;1182
06.10.2000;1139
13.10.2000;1103.4
20.10.2000;1064.25
27.10.2000;1052.75
03.11.2000;1081.1
10.11.2000;1055.42
17.11.2000;1044
24.11.2000;1056.75
01.12.2000;1051
08.12.2000;1095.5
15.12.2000;1074.45
22.12.2000;1045.9
29.12.2000;1025.5
05.01.2001;1011
12.01.2001;1044.95
19.01.2001;1037.25
26.01.2001;1045.5
02.02.2001;1038
09.02.2001;1021.25
16.02.2001;1013.75
23.02.2001;1014.5
02.03.2001;1033
09.03.2001;1012
16.03.2001;1001.95
23.03.2001;998.5
30.03.2001;977.5
06.04.2001;974.25
13.04.2001;978
20.04.2001;967.25
27.04.2001;958
04.05.2001;949.25
11.05.2001;944.95
18.05.2001;945
25.05.2001;921.5
01.06.2001;911.5
08.06.2001;903.75
15.06.2001;906
22.06.2001;887.75
29.06.2001;875
06.07.2001;865
13.07.2001;849.7
20.07.2001;850.5
27.07.2001;845.06
03.08.2001;840.1
10.08.2001;825
17.08.2001;857
24.08.2001;836.5
31.08.2001;825.5
07.09.2001;807
14.09.2001;814.5
21.09.2001;774
28.09.2001;777.25
05.10.2001;771.5
12.10.2001;778.75
19.10.2001;753
26.10.2001;764.5
02.11.2001;747
09.11.2001;767.2
16.11.2001;801.75
23.11.2001;782.75
30.11.2001;785.75
07.12.2001;756.25
14.12.2001;742.5
21.12.2001;775.75
28.12.2001;771.5
04.01.2002;809
11.01.2002;810.25
18.01.2002;790
25.01.2002;780.25
01.02.2002;795.5
08.02.2002;773.2
15.02.2002;768
22.02.2002;765.25
01.03.2002;795
08.03.2002;823
